alpha	T_K
0	317.46305
0.01011	322.64927
0.02022	326.43961
0.03033	329.18932
0.04043	331.18219
0.05054	332.6416
0.06065	333.74012
0.07076	334.60814
0.08087	335.34131
0.09098	336.00717
0.10109	336.65075
0.1112	337.29953
0.1213	337.96754
0.13141	338.6589
0.14152	339.37076
0.15163	340.09572
0.16174	340.82376
0.17185	341.5438
0.18196	342.24487
0.19207	342.91703
0.20217	343.55193
0.21228	344.14323
0.22239	344.68679
0.2325	345.18073
0.24261	345.62529
0.25272	346.02271
0.26283	346.37695
0.27294	346.69337
0.28304	346.97845
0.29315	347.23935
0.30326	347.48366
0.31337	347.71899
0.32348	347.95269
0.33359	348.19157
0.3437	348.44164
0.3538	348.70795
0.36391	348.9944
0.37402	349.30363
0.38413	349.63703
0.39424	349.99468
0.40435	350.37537
0.41446	350.77676
0.42457	351.19545
0.43467	351.62711
0.44478	352.06674
0.45489	352.50881
0.465	352.94752
0.47511	353.37702
0.48522	353.79166
0.49533	354.18619
0.50544	354.556
0.51554	354.89734
0.52565	355.20747
0.53576	355.48482
0.54587	355.72908
0.55598	355.94131
0.56609	356.12393
0.5762	356.28071
0.58631	356.41669
0.59641	356.53808
0.60652	356.65204
0.61663	356.76648
0.62674	356.88978
0.63685	357.03047
0.64696	357.19689
0.65707	357.39678
0.66717	357.63692
0.67728	357.92268
0.68739	358.25767
0.6975	358.64333
0.70761	359.07862
0.71772	359.55976
0.72783	360.08004
0.73794	360.62981
0.74804	361.19652
0.75815	361.76502
0.76826	362.31806
0.77837	362.83702
0.78848	363.30297
0.79859	363.69805
0.8087	364.00725
0.81881	364.22068
0.82891	364.33626
0.83902	364.3631
0.84913	364.32539
0.85924	364.26705
0.86935	364.25719
0.87946	364.39641
0.88957	364.82394
0.89968	365.72601
0.90978	367.34512
0.91989	369.9907
0.93	371.9519667
0.94011	374.0843117
0.95022	376.2166567
0.96033	378.3490017
0.97044	380.4813467
0.98055	382.6136917
0.99066	384.7460367
1	386.8783817
