alpha	Ea_kJ_per_mol
0.02022	94.89
0.03033	90
0.04043	89.38
0.05054	86.88
0.06065	86.18
0.07076	85.58
0.08087	87.65
0.09098	89.07
0.10109	90.6
0.1112	92.05
0.1213	93.27
0.13141	94.14
0.14152	94.59
0.15163	94.63
0.16174	94.28
0.17185	93.59
0.18196	92.63
0.19207	91.5
0.20217	90.25
0.21228	88.97
0.22239	87.71
0.2325	86.54
0.24261	85.46
0.25272	84.53
0.26283	83.76
0.27294	83.18
0.28304	82.74
0.29315	82.5
0.30326	82.44
0.31337	82.53
0.32348	82.79
0.33359	83.19
0.3437	83.7
0.3538	84.34
0.36391	85.05
0.37402	85.83
0.38413	86.62
0.39424	87.42
0.40435	88.2
0.41446	88.9
0.42457	89.52
0.43467	90.02
0.44478	90.39
0.45489	90.6
0.465	90.64
0.47511	90.51
0.48522	90.22
0.49533	89.8
0.50544	89.21
0.51554	88.55
0.52565	87.76
0.53576	86.95
0.54587	86.07
0.55598	85.21
0.56609	84.38
0.5762	83.6
0.58631	82.89
0.59641	82.28
0.60652	81.79
0.61663	81.44
0.62674	81.21
0.63685	81.17
0.64696	81.28
0.65707	81.56
0.66717	82.01
0.67728	82.62
0.68739	83.38
0.6975	84.28
0.70761	85.26
0.71772	86.34
0.72783	87.43
0.73794	88.49
0.74804	89.47
0.75815	90.28
0.76826	90.87
0.77837	91.17
0.78848	91.12
0.79859	90.71
0.8087	89.91
0.81881	88.74
0.82891	87.3
0.83902	85.63
0.84913	83.89
0.85924	82.24
0.86935	80.86
0.87946	80
0.88957	79.96
0.89968	81.12
0.90978	84.09
0.91989	89.73
0.93	90
0.94011	90
0.95022	95
0.96033	97.2
0.97044	112
0.98055	118
0.99066	120.6
