alpha	T_K
0	337.72424
0.0101	349.27856
0.0202	357.8744
0.0303	364.16957
0.0404	368.70744
0.05051	371.93221
0.06061	374.20254
0.07071	375.80387
0.08081	376.95943
0.09091	377.84004
0.10101	378.57279
0.11111	379.24874
0.12121	379.92963
0.13131	380.65377
0.14141	381.4411
0.15152	382.29758
0.16162	383.21889
0.17172	384.19356
0.18182	385.20559
0.19192	386.23654
0.20202	387.26726
0.21212	388.2792
0.22222	389.25543
0.23232	390.18137
0.24242	391.04521
0.25253	391.83826
0.26263	392.55494
0.27273	393.19281
0.28283	393.75233
0.29293	394.23664
0.30303	394.6512
0.31313	395.00341
0.32323	395.30222
0.33333	395.55768
0.34343	395.78053
0.35354	395.9818
0.36364	396.17239
0.37374	396.36275
0.38384	396.56257
0.39394	396.78047
0.40404	397.02381
0.41414	397.29853
0.42424	397.60899
0.43434	397.95794
0.44444	398.34648
0.45455	398.77411
0.46465	399.2388
0.47475	399.73709
0.48485	400.26431
0.49495	400.81468
0.50505	401.38161
0.51515	401.95789
0.52525	402.53594
0.53535	403.10809
0.54545	403.66685
0.55556	404.20512
0.56566	404.71649
0.57576	405.19542
0.58586	405.63747
0.59596	406.03946
0.60606	406.3996
0.61616	406.71761
0.62626	406.99475
0.63636	407.23382
0.64646	407.43915
0.65657	407.61648
0.66667	407.77282
0.67677	407.91626
0.68687	408.05573
0.69697	408.20068
0.70707	408.36083
0.71717	408.54572
0.72727	408.76439
0.73737	409.02495
0.74747	409.33422
0.75758	409.69726
0.76768	410.1171
0.77778	410.59436
0.78788	411.12701
0.79798	411.71021
0.80808	412.33625
0.81818	412.99465
0.82828	413.67237
0.83838	414.35431
0.84848	415.024
0.85859	415.66456
0.86869	416.25998
0.87879	416.79682
0.88889	417.2662
0.89899	417.66642
0.90909	418.00592
0.91919	418.30696
0.92929	418.60984
0.93939	418.9779
0.94949	419.5032
0.9596	420.31315
0.9697	421.57799
0.9798	423.51931
0.9899	426.41962
1	430.63314
