alpha	Ea_kJ_per_mol
0	137
0.0101	128
0.0202	122.3
0.0303	119.2
0.0404	107.31
0.0505	100.76
0.06061	97.1
0.07071	95.15
0.08081	94.24
0.09091	93.95
0.10101	94.03
0.11111	94.26
0.12121	94.48
0.13131	94.62
0.14141	94.6
0.15151	94.38
0.16162	94
0.17172	93.46
0.18182	92.75
0.19192	91.95
0.20202	91.08
0.21212	90.18
0.22222	89.27
0.23232	88.42
0.24242	87.61
0.25252	86.89
0.26263	86.26
0.27273	85.73
0.28283	85.3
0.29293	85
0.30303	84.8
0.31313	84.7
0.32323	84.7
0.33333	84.8
0.34343	84.95
0.35353	85.2
0.36363	85.5
0.37374	85.81
0.38384	86.17
0.39394	86.56
0.40404	86.91
0.41414	87.26
0.42424	87.55
0.43434	87.8
0.44444	88
0.45454	88.13
0.46464	88.19
0.47475	88.17
0.48485	88.07
0.49495	87.89
0.50505	87.66
0.51515	87.37
0.52525	87
0.53535	86.6
0.54545	86.17
0.55555	85.72
0.56565	85.26
0.57576	84.82
0.58586	84.39
0.59596	84
0.60606	83.62
0.61616	83.31
0.62626	83.05
0.63636	82.87
0.64646	82.74
0.65656	82.67
0.66666	82.68
0.67676	82.77
0.68687	82.93
0.69697	83.14
0.70707	83.43
0.71717	83.75
0.72727	84.11
0.73737	84.49
0.74747	84.87
0.75757	85.24
0.76767	85.57
0.77777	85.86
0.78788	86.05
0.79798	86.16
0.80808	86.15
0.81818	86.04
0.82828	85.77
0.83838	85.36
0.84848	84.85
0.85858	84.22
0.86868	83.48
0.87878	82.68
0.88889	81.85
0.89899	81.04
0.90909	80.3
0.91919	78
0.92929	79
0.93939	80.1
0.94949	80.4
0.95959	80.4
0.96969	84.67
0.97979	84.67
0.98989	88.51
1	93.78
