alpha	T_K
0	326.68384
0.0101	333.96465
0.0202	339.97499
0.0303	344.90235
0.0404	348.91406
0.05051	352.15872
0.06061	354.76769
0.07071	356.85636
0.08081	358.52555
0.09091	359.86265
0.10101	360.94286
0.11111	361.83023
0.12121	362.57877
0.13131	363.23338
0.14141	363.83082
0.15152	364.40058
0.16162	364.9657
0.17172	365.5435
0.18182	366.14639
0.19192	366.78245
0.20202	367.45609
0.21212	368.16861
0.22222	368.91879
0.23232	369.70326
0.24242	370.51707
0.25253	371.35401
0.26263	372.20702
0.27273	373.06848
0.28283	373.93054
0.29293	374.78537
0.30303	375.62535
0.31313	376.44332
0.32323	377.2327
0.33333	377.98763
0.34343	378.7031
0.35354	379.37502
0.36364	380.00026
0.37374	380.57671
0.38384	381.10331
0.39394	381.57998
0.40404	382.00768
0.41414	382.3883
0.42424	382.72465
0.43434	383.02037
0.44444	383.27987
0.45455	383.50821
0.46465	383.71103
0.47475	383.89441
0.48485	384.06479
0.49495	384.22883
0.50505	384.3933
0.51515	384.56494
0.52525	384.75036
0.53535	384.95589
0.54545	385.18749
0.55556	385.45061
0.56566	385.75011
0.57576	386.09012
0.58586	386.47397
0.59596	386.90411
0.60606	387.38202
0.61616	387.90819
0.62626	388.48203
0.63636	389.10186
0.64646	389.76492
0.65657	390.46736
0.66667	391.20427
0.67677	391.96973
0.68687	392.75693
0.69697	393.55818
0.70707	394.36515
0.71717	395.16893
0.72727	395.96028
0.73737	396.72982
0.74747	397.46826
0.75758	398.16675
0.76768	398.81712
0.77778	399.41229
0.78788	399.94664
0.79798	400.41648
0.80808	400.82045
0.81818	401.16015
0.82828	401.44059
0.83838	401.6709
0.84848	401.86491
0.85859	402.04192
0.86869	402.22739
0.87879	402.45383
0.88889	402.7616
0.89899	403.19983
0.90909	403.82744
0.91919	404.71413
0.92929	405.9415
0.93939	407.60418
0.94949	409.81105
0.9596	412.68653
0.9697	416.37192
0.9798	421.02681
0.9899	426.83055
1	433.98383
