alpha	Ea_kJ_per_mol
0	51.84
0.0101	49.61
0.0202	47.96
0.0303	46.75
0.0404	45.84
0.05051	45.18
0.06061	44.7
0.07071	44.34
0.08081	44.12
0.09091	43.96
0.10101	43.91
0.11111	43.89
0.12121	43.91
0.13131	43.98
0.14141	44.07
0.15152	44.2
0.16162	44.32
0.17172	44.44
0.18182	44.55
0.19192	44.67
0.20202	44.76
0.21212	44.87
0.22222	44.92
0.23232	45
0.24242	45
0.25253	45.04
0.26263	45.03
0.27273	45
0.28283	44.97
0.29293	44.9
0.30303	44.85
0.31313	44.74
0.32323	44.65
0.33333	44.54
0.34343	44.41
0.35354	44.32
0.36364	44.18
0.37374	44.05
0.38384	43.92
0.39394	43.8
0.40404	43.66
0.41414	43.53
0.42424	43.4
0.43434	43.33
0.44444	43.22
0.45455	43.12
0.46465	43.02
0.47475	42.95
0.48485	42.87
0.49495	42.84
0.50505	42.81
0.51515	42.77
0.52525	42.76
0.53535	42.75
0.54545	42.75
0.55556	42.79
0.56566	42.83
0.57576	42.87
0.58586	42.92
0.59596	42.97
0.60606	43.04
0.61616	43.1
0.62626	43.15
0.63636	43.21
0.64646	43.28
0.65657	42.72
0.66667	43.4
0.67677	43.45
0.68687	43.5
0.69697	43.52
0.70707	43.51
0.71717	43.53
0.72727	43.51
0.73737	43.46
0.74747	43.42
0.75758	43.35
0.76768	43.25
0.77778	43.14
0.78788	43.01
0.79798	42.88
0.80808	42.7
0.81818	42.53
0.82828	42.37
0.83838	42.18
0.84848	42
0.85859	41.83
0.86869	41.66
0.87879	41.51
0.88889	41.38
0.89899	41.32
0.90909	41.3
0.91919	41.34
0.92929	41.49
0.93939	41.7
0.94949	42.01
0.9596	42.5
0.9697	43.09
0.9798	43.9
0.9899	44.84
1	46.02
