alpha	T_K
0.005	403.29742
0.015	418.20503
0.025	423.65066
0.035	427.14884
0.045	429.71683
0.055	431.73587
0.065	433.4182
0.075	434.90205
0.085	436.26255
0.095	437.5327
0.105	438.73098
0.115	439.86896
0.125	440.95386
0.135	441.99278
0.145	442.99028
0.155	443.95207
0.165	444.88122
0.175	445.78087
0.185	446.65369
0.195	447.5021
0.205	448.32847
0.215	449.13464
0.225	449.92235
0.235	450.69311
0.245	451.44801
0.255	452.18858
0.265	452.91583
0.275	453.63119
0.285	454.33558
0.295	455.02982
0.305	455.71461
0.315	456.39185
0.325	457.06098
0.335	457.72362
0.345	458.37995
0.355	459.03074
0.365	459.67633
0.375	460.31751
0.385	460.95486
0.395	461.58861
0.405	462.2195
0.415	462.84775
0.425	463.47392
0.435	464.09853
0.445	464.72188
0.455	465.34418
0.465	465.96598
0.475	466.58764
0.485	467.20923
0.495	467.83145
0.505	468.45444
0.515	469.07827
0.525	469.70352
0.535	470.33046
0.545	470.95964
0.555	471.59175
0.565	472.2269
0.575	472.86608
0.585	473.5095
0.595	474.15786
0.605	474.81194
0.615	475.472
0.625	476.13917
0.635	476.81431
0.645	477.49813
0.655	478.19111
0.665	478.89428
0.675	479.60873
0.685	480.33539
0.695	481.07509
0.705	481.82923
0.715	482.59975
0.725	483.38669
0.735	484.19319
0.745	485.01911
0.755	485.86767
0.765	486.73951
0.775	487.63748
0.785	488.56382
0.795	489.52081
0.805	490.51244
0.815	491.54083
0.825	492.60955
0.835	493.72288
0.845	494.88526
0.855	496.10317
0.865	497.38301
0.875	498.73282
0.885	500.16279
0.895	501.68548
0.905	503.316
0.915	505.07431
0.925	506.98693
0.935	509.09019
0.945	511.43019
0.955	514.06636
0.965	517.08644
0.975	520.62278
0.985	524.99637
0.995	532.16908
