rate_K_per_min	alpha	T_K	dalpha_dt	Evya_kJ_per_mol	A_xlsx_per_sec
1	0	314.15	2.22376e-06	78.2	22392388.32
1	0.001	321.65231	4.53793e-06	77.1	15079196.09
1	0.002	324.08709	8.22616e-06	78.2	33142364.32
1	0.003	325.8249	1.08846e-05	78.3	39015777.61
1	0.004	327.19588	1.32911e-05	79	54648745.7
1	0.00501	328.35338	1.55248e-05	79.1	59832089.64
1	0.00601	329.35621	1.77323e-05	78.9	58220291.47
1	0.00701	330.24228	1.98007e-05	79.4	72266963.56
1	0.00801	331.04541	2.17727e-05	79.5	76898743.2
1	0.00901	331.77802	2.37248e-05	79.6	81600345.93
1	0.01001	332.45409	2.57199e-05	79.3	74915914.43
1	0.01101	333.07747	2.75954e-05	79.8	91343083.2
1	0.01201	333.66433	2.93677e-05	79.8	92498865.07
1	0.01301	334.2148	3.12329e-05	79.9	97357972.16
1	0.01401	334.73359	3.30813e-05	79.9	98725027.43
1	0.01502	335.22421	3.48975e-05	79.9	99962111.53
1	0.01602	335.69035	3.66686e-05	80	104724613.6
1	0.01702	336.13469	3.83936e-05	80.1	109531515.6
1	0.01802	336.55984	4.00143e-05	80.4	122680439.8
1	0.01902	336.96887	4.16438e-05	80.5	127910910.3
1	0.02002	337.36142	4.34018e-05	80.4	124538498.9
1	0.02102	337.73799	4.51706e-05	80.3	121268552.7
1	0.02202	338.10037	4.68943e-05	80.3	122220679.2
1	0.02302	338.44975	4.85372e-05	80.5	132009367.4
1	0.02402	338.788	5.01381e-05	80.6	137453758.5
1	0.02503	339.11543	5.17258e-05	80.7	143070531.6
1	0.02603	339.43321	5.33387e-05	80.7	143778262.3
1	0.02703	339.74114	5.49388e-05	80.8	149656350.3
1	0.02803	340.04067	5.64722e-05	80.9	155566419.8
1	0.02903	340.33211	5.80345e-05	81	161778487.9
1	0.03003	340.61572	5.96406e-05	81	162507085.3
1	0.03103	340.89167	6.1263e-05	81	163275459
1	0.03203	341.16046	6.28444e-05	81	163930063.1
1	0.03303	341.4227	6.44063e-05	81	164529335.8
1	0.03403	341.67861	6.59339e-05	81.1	170954066.7
1	0.03504	341.92882	6.75309e-05	81	165721026.6
1	0.03604	342.17278	6.91318e-05	81.1	172364078.7
1	0.03704	342.41153	7.06474e-05	81.1	172855493.1
1	0.03804	342.64514	7.21317e-05	81.2	179462749.9
1	0.03904	342.87416	7.36069e-05	81.3	186287975.4
1	0.04004	343.09849	7.51183e-05	81.3	186795251
1	0.04104	343.31839	7.65805e-05	81.4	193855404.9
1	0.04204	343.53424	7.80471e-05	81.4	194261948.2
1	0.04304	343.74595	7.95962e-05	81.4	194873946.1
1	0.04404	343.95348	8.11568e-05	81.4	195513580.1
1	0.04505	344.15713	8.26541e-05	81.5	202973060.1
1	0.04605	344.3572	8.40656e-05	81.6	210489102.5
1	0.04705	344.55407	8.55594e-05	81.5	203751744.8
1	0.04805	344.74722	8.70585e-05	81.6	211509704.8
1	0.04905	344.93736	8.84927e-05	81.6	211869056.6
1	0.05005	345.1243	9.00116e-05	81.6	212433028.4
1	0.05105	345.30808	9.14841e-05	81.6	212889058.6
1	0.05205	345.48905	9.29065e-05	81.7	220782880.3
1	0.05305	345.66724	9.43131e-05	81.7	221096532.1
1	0.05405	345.84286	9.56899e-05	81.8	229176189.7
1	0.05506	346.01596	9.71128e-05	81.8	229542415
1	0.05606	346.18646	9.86023e-05	81.8	230065431.4
1	0.05706	346.35437	0.000100091	81.8	230587591.2
1	0.05806	346.51985	0.000101498	81.8	230923286.3
1	0.05906	346.68313	0.000102856	81.9	239310115.7
1	0.06006	346.84426	0.000104337	81.8	231653170.8
1	0.06106	347.00295	0.000105864	81.8	232261159.5
1	0.06206	347.15946	0.000107226	81.9	240705799.7
1	0.06306	347.31414	0.000108557	81.9	240890249.2
1	0.06406	347.46684	0.000109926	82	249658192.6
1	0.06507	347.61769	0.000111261	82	249866312.1
1	0.06607	347.76675	0.000112635	82	250162008.9
1	0.06707	347.91394	0.000114099	82	250659559.5
1	0.06807	348.0592	0.000115532	82	251091674.4
