alpha	T_K	dalpha_dT	inv_T	y_n1	y_n2	y_n3	y_n0.7
0.0045	341.15394	0.0015	0.002931228055	-6.497780015	-6.49326986	-6.488759704	-6.499133062
0.01451	352.56785	0.00259	0.002836333489	-5.941481104	-5.926864804	-5.912248505	-5.945865994
0.02452	357.27902	0.00349	0.00279893289	-5.633027921	-5.6082023	-5.583376678	-5.640475608
0.03453	360.55205	0.00435	0.002773524655	-5.402439184	-5.367298935	-5.332158685	-5.412981259
0.04454	363.09976	0.00516	0.002754064062	-5.22125632	-5.175693941	-5.130131562	-5.234925034
0.05455	365.20186	0.00596	0.002738211684	-5.066590524	-5.010496249	-4.954401975	-5.083418806
0.06456	367.0004	0.00673	0.002724792671	-4.934441863	-4.867703591	-4.800965319	-4.954463345
0.07457	368.57785	0.00748	0.002713131025	-4.818025702	-4.740528918	-4.663032133	-4.841274738
0.08458	369.98642	0.00821	0.002702801903	-4.714030053	-4.62565775	-4.537285448	-4.740541744
0.09459	371.26153	0.00893	0.00269351904	-4.618971485	-4.519604086	-4.420236686	-4.648781705
0.1046	372.42849	0.00964	0.002685079222	-4.531349437	-4.420864704	-4.310379971	-4.564494857
0.11461	373.50607	0.01033	0.00267733266	-4.450975943	-4.32924889	-4.207521837	-4.487494059
0.12462	374.50846	0.01101	0.00267016665	-4.375854127	-4.242756926	-4.109659725	-4.415783287
0.13463	375.44655	0.01167	0.002663494977	-4.306135715	-4.161537597	-4.016939479	-4.34951515
0.14464	376.32908	0.01232	0.00265724881	-4.240298475	-4.084065629	-3.927832783	-4.287168329
0.15465	377.16322	0.01296	0.002651371998	-4.177883052	-4.009878516	-3.841873979	-4.228284413
0.16466	377.95484	0.01359	0.002645818744	-4.118504599	-3.938588148	-3.758671697	-4.172479535
0.17467	378.70869	0.0142	0.00264055203	-4.062541342	-3.870569369	-3.678597396	-4.120132934
0.18468	379.42896	0.01481	0.00263553947	-4.008278046	-3.804103441	-3.599928836	-4.069530427
0.19469	380.11899	0.0154	0.002630755175	-3.956859787	-3.740331805	-3.523803822	-4.021818182
0.2047	380.78172	0.01598	0.002626176488	-3.907381462	-3.678345585	-3.449309708	-3.976092225
0.21471	381.41973	0.01654	0.002621783619	-3.860271387	-3.618569184	-3.376866981	-3.932782048
0.22472	382.03525	0.0171	0.002617559505	-3.814145791	-3.559614766	-3.305083742	-3.890505098
0.23473	382.63023	0.01764	0.002613489269	-3.770059662	-3.502533096	-3.23500653	-3.850317632
0.24474	383.20639	0.01817	0.002609559825	-3.727290178	-3.44659696	-3.165903742	-3.811498144
0.25475	383.76526	0.01869	0.002605759573	-3.685731111	-3.391695565	-3.097660018	-3.773941775
0.26476	384.30824	0.0192	0.002602077957	-3.645286697	-3.337728395	-3.030170093	-3.737554188
0.27477	384.83651	0.01969	0.002598506051	-3.606377953	-3.28511152	-2.963845087	-3.702757883
0.28478	385.35116	0.02018	0.002595035655	-3.567898173	-3.232733081	-2.89756799	-3.6684477
0.29479	385.85321	0.02065	0.002591659144	-3.530780311	-3.181520663	-2.832261015	-3.635558206
0.3048	386.34355	0.0211	0.002588369859	-3.494926533	-3.131370828	-2.767815123	-3.603993245
0.31481	386.82299	0.02155	0.002585161756	-3.459320356	-3.081261249	-2.703202142	-3.572738088
0.32482	387.29228	0.02198	0.002582029262	-3.424846373	-3.032070416	-2.639294459	-3.54267916
0.33483	387.75212	0.0224	0.002578967202	-3.390981688	-2.983269056	-2.575556424	-3.513295478
0.34484	388.20317	0.02281	0.002575970722	-3.357680444	-2.934804646	-2.511928848	-3.484543184
0.35485	388.64597	0.0232	0.002573035815	-3.325330569	-2.887058138	-2.448785707	-3.456812299
0.36486	389.08108	0.02358	0.002570158384	-3.293446552	-2.83953672	-2.385626888	-3.429619502
