alpha	T_K	dalpha_dT	inv_T	y_n1	y_n2	y_n3	y_n0.7
0.0045	338.07459	0.00143	0.002957927125	-6.545570679	-6.541060524	-6.536550368	-6.546923726
0.01451	345.05395	0.00207	0.002898097529	-6.165590372	-6.150974073	-6.136357773	-6.169975262
0.02452	348.76497	0.00321	0.002867260436	-5.71665872	-5.691833099	-5.667007478	-5.724106407
0.03453	351.45662	0.00419	0.002845301363	-5.439914295	-5.404774046	-5.369633796	-5.45045637
0.04454	353.60301	0.00511	0.002828030225	-5.230993496	-5.185431117	-5.139868738	-5.244662209
0.05455	355.40203	0.006	0.002813714936	-5.059901535	-5.003807261	-4.947712987	-5.076729818
0.06456	356.95838	0.00685	0.002801447048	-4.916768355	-4.850030082	-4.78329181	-4.936789836
0.07457	358.33545	0.00768	0.00279068119	-4.791638947	-4.714142163	-4.636645378	-4.814887983
0.08458	359.57353	0.00848	0.002781072344	-4.681672527	-4.593300224	-4.504927921	-4.708184217
0.09459	360.70061	0.00927	0.002772382337	-4.5816045	-4.482237101	-4.382869702	-4.61141472
0.1046	361.73656	0.01005	0.00276444272	-4.489697911	-4.379213178	-4.268728445	-4.522843331
0.11461	362.69651	0.0108	0.002757126061	-4.406482092	-4.284755039	-4.163027986	-4.443000208
0.12462	363.59197	0.01155	0.002750335768	-4.327972641	-4.19487544	-4.061778238	-4.367901801
0.13463	364.4321	0.01228	0.002743995384	-4.255185238	-4.110587121	-3.965989003	-4.298564674
0.14464	365.22433	0.01299	0.002738043219	-4.187342602	-4.031109756	-3.87487691	-4.234212456
0.15465	365.97464	0.01369	0.002732429766	-4.123085103	-3.955080567	-3.787076031	-4.173486464
0.16466	366.68758	0.01438	0.002727117182	-4.062000475	-3.882084024	-3.702167573	-4.115975411
0.17467	367.36753	0.01506	0.00272206964	-4.003741084	-3.811769111	-3.619797139	-4.061332676
0.18468	368.01778	0.01572	0.002717260019	-3.948646887	-3.744472282	-3.540297678	-4.009899269
0.19469	368.64124	0.01638	0.002712664486	-3.895166218	-3.678638236	-3.462110253	-3.960124613
0.2047	369.24059	0.01702	0.002708261299	-3.844330279	-3.615294402	-3.386258525	-3.913041042
0.21471	369.81797	0.01765	0.002704033014	-3.795317293	-3.55361509	-3.311912888	-3.867827954
0.22472	370.37537	0.01826	0.002699963553	-3.748511379	-3.493980355	-3.23944933	-3.824870687
0.23473	370.91451	0.01887	0.002696039041	-3.702655353	-3.435128787	-3.167602221	-3.782913323
0.24474	371.43675	0.01946	0.002692248411	-3.658700984	-3.378007766	-3.097314548	-3.74290895
0.25475	371.94338	0.02005	0.002688581257	-3.615490579	-3.321455032	-3.027419486	-3.703701243
0.26476	372.4356	0.02062	0.002685027962	-3.573935498	-3.266377195	-2.958818893	-3.666202989
0.27477	372.91457	0.02118	0.002681579323	-3.533431506	-3.212165073	-2.89089864	-3.629811436
0.28478	373.38114	0.02173	0.002678228472	-3.493896393	-3.158731302	-2.823566211	-3.594445921
0.29479	373.83614	0.02227	0.002674968771	-3.45525515	-3.105995501	-2.756735853	-3.560033044
0.3048	374.28044	0.02279	0.002671793375	-3.417877731	-3.054322026	-2.690766321	-3.526944442
0.31481	374.71487	0.02329	0.002668695801	-3.381672088	-3.003612981	-2.625553874	-3.49508982
0.32482	375.14	0.02379	0.002665671483	-3.345713998	-2.952938041	-2.560162084	-3.463546785
0.33483	375.55632	0.02428	0.002662716474	-3.310389681	-2.902677049	-2.494964417	-3.43270347
0.34484	375.96455	0.02475	0.002659825242	-3.276053992	-2.853178193	-2.430302395	-3.402916731
0.35485	376.36516	0.02521	0.002656994075	-3.242242107	-2.803969676	-2.365697245	-3.373723836
0.36486	376.75868	0.02566	0.002654218876	-3.208912088	-2.755002256	-2.301092424	-3.345085037
0.37487	377.14549	0.0261	0.002651496641	-3.176024314	-2.706228663	-2.236433012	-3.316963009
0.38488	377.52591	0.02652	0.002648824818	-3.143918205	-2.657980297	-2.172042389	-3.289699578
