alpha	T_K	dalpha_dt	Z_norm_xlsx
0.0045	341.15394	7.30835e-05	0.02406452201
0.01451	352.56785	0.000125073	0.04398515239
0.02452	357.27902	0.000215961	0.07799153682
0.03453	360.55205	0.00029114	0.1070766895
0.04454	363.09976	0.000362122	0.1350715717
0.05455	365.20186	0.000430314	0.1623710342
0.06456	367.0004	0.000496305	0.1891206035
0.07457	368.57785	0.000560509	0.2154260283
0.08458	369.98642	0.0006232	0.2413549065
0.09459	371.26153	0.000684505	0.2669277001
0.1046	372.42849	0.000744466	0.2921378172
0.11461	373.50607	0.000803147	0.3169914067
0.12462	374.50846	0.000860695	0.3415306344
0.13463	375.44655	0.000917207	0.3657806403
0.14464	376.32908	0.00097262	0.3897049056
0.15465	377.16322	0.00103	0.4145271818
0.16466	377.95484	0.00108	0.4364763303
0.17467	378.70869	0.00113	0.4585071414
0.18468	379.42896	0.00118	0.4806180506
0.19469	380.11899	0.00123	0.5028070567
0.2047	380.78172	0.00128	0.525072498
0.21471	381.41973	0.00133	0.5474129525
0.22472	382.03525	0.00138	0.5698270731
0.23473	382.63023	0.00142	0.5881715604
0.24474	383.20639	0.00147	0.6107169011
0.25475	383.76526	0.00151	0.6291661991
0.26476	384.30824	0.00156	0.6518401548
0.27477	384.83651	0.0016	0.6703932564
0.28478	385.35116	0.00164	0.6889922055
0.29479	385.85321	0.00168	0.707637169
0.3048	386.34355	0.00172	0.7263281873
0.31481	386.82299	0.00176	0.7450653084
0.32482	387.29228	0.0018	0.7638486315
0.33483	387.75212	0.00183	0.7784246339
0.34484	388.20317	0.00187	0.7972910351
0.35485	388.64597	0.0019	0.8119308775
0.36486	389.08108	0.00193	0.8265985781
0.37487	389.50902	0.00196	0.8412948478
0.38488	389.93027	0.002	0.8603219748
0.39489	390.34526	0.00202	0.8707757159
0.4049	390.75441	0.00205	0.8855615601
0.41491	391.15809	0.00208	0.9003784421
0.42492	391.55669	0.00211	0.9152271015
0.43493	391.95053	0.00213	0.9257617543
0.44494	392.33998	0.00215	0.9363122611
0.45495	392.72536	0.00218	0.9512430703
0.46496	393.10696	0.0022	0.9618365282
0.47497	393.48508	0.00222	0.97244855
0.48498	393.85999	0.00223	0.9786912681
0.49499	394.23198	0.00225	0.9893349237
0.50501	394.6013	0.00227	1
0.51502	394.96822	0.00228	1.006274047
0.52503	395.33298	0.00229	1.012555167
0.53504	395.69585	0.0023	1.018844596
0.54505	396.05706	0.00231	1.025143395
0.55506	396.41688	0.00232	1.031452855
0.56507	396.77551	0.00233	1.037773932
0.57508	397.13319	0.00233	1.039645813
0.58509	397.49019	0.00234	1.045985843
0.5951	397.84675	0.00234	1.047863242
0.60511	398.20312	0.00234	1.049741324
0.61512	398.55954	0.00234	1.05162135
0.62513	398.91627	0.00234	1.053504696
0.63514	399.27357	0.00233	1.050882515
0.64515	399.63171	0.00233	1.0527686
0.65516	399.99096	0.00232	1.050135782
0.66517	400.35163	0.00231	1.047495827
0.67518	400.714	0.0023	1.044850097
0.68519	401.07842	0.00228	1.037649204
0.6952	401.44522	0.00227	1.034988583
0.70521	401.81474	0.00225	1.027759183
0.71522	402.1874	0.00223	1.020513851
0.72523	402.56359	0.00221	1.013254119
0.73524	402.94375	0.00218	1.00138818
0.74525	403.32837	0.00215	0.9894939013
0.75526	403.71799	0.00213	0.9821841639
0.76527	404.11318	0.00209	0.9656270778
0.77528	404.51458	0.00206	0.9536580937
0.78529	404.9229	0.00202	0.937029289
0.7953	405.33893	0.00198	0.9203625594
0.80531	405.76358	0.00194	0.9036598287
0.81532	406.19783	0.0019	0.8869230021
0.82533	406.64285	0.00185	0.8654761985
0.83534	407.09998	0.0018	0.8439792838
0.84535	407.57076	0.00174	0.8177346606
0.85536	408.057	0.00169	0.7961327485
0.86537	408.56088	0.00162	0.7650427335
0.87538	409.08501	0.00156	0.7385992288
0.88539	409.63257	0.00149	0.7073467269
0.8954	410.20751	0.00141	0.6712486824
0.90541	410.81493	0.00133	0.6350401694
0.91542	411.46137	0.00125	0.5987220709
0.92543	412.15564	0.00115	0.5526847152
0.93544	412.91001	0.00105	0.5064741
0.94545	413.74235	0.000945725	0.4580173638
0.95546	414.6804	0.000827019	0.4023459408
0.96547	415.77113	0.000694996	0.3398975891
0.97548	417.10535	0.000544048	0.2677847607
0.98549	418.90745	0.000360469	0.1789621585
0.99499	421.97839	0.000159356	0.08027974069
1	428.85407	6.06608e-05	0.03156343968
