alpha	T_K	dalpha_dt	Z_norm_xlsx
0.0045	371.35329	0.000106914	0.03525768003
0.01451	379.15551	0.0001624	0.0558297098
0.02452	382.98398	0.0002585	0.09067057413
0.03453	385.77277	0.00033672	0.1198330612
0.04454	388.00123	0.000410074	0.1476294635
0.05455	389.8723	0.000480294	0.1745808179
0.06456	391.49278	0.000548181	0.2009167272
0.07457	392.92706	0.000614048	0.2267100647
0.08458	394.21734	0.00067817	0.252031383
0.09459	395.39249	0.000740838	0.2769648688
0.1046	396.47325	0.000802325	0.3015940079
0.11461	397.47487	0.000862372	0.3258056424
0.12462	398.41011	0.000921336	0.3497223147
0.13463	399.2875	0.000979217	0.3733317927
0.14464	400.1153	0.00104	0.3981514107
0.15465	400.89873	0.00109	0.4189290347
0.16466	401.64406	0.00115	0.4436343233
0.17467	402.35499	0.0012	0.4645630153
0.18468	403.03468	0.00125	0.48555614
0.19469	403.68665	0.00131	0.5105104927
0.2047	404.31357	0.00136	0.5316430565
0.21471	404.91766	0.00141	0.5528370637
0.22472	405.50089	0.00145	0.5701593201
0.23473	406.06501	0.0015	0.5914622056
0.24474	406.61153	0.00155	0.6128238787
0.25475	407.14186	0.0016	0.6342436058
0.26476	407.65718	0.00164	0.6517464015
0.27477	408.15872	0.00168	0.6692864653
0.28478	408.6477	0.00173	0.6908580511
0.29479	409.1247	0.00177	0.7084827299
0.3048	409.59047	0.00181	0.7261441846
0.31481	410.04567	0.00185	0.7438421617
0.32482	410.49125	0.00189	0.7615776927
0.33483	410.92841	0.00193	0.7793530631
0.34484	411.35685	0.00197	0.7971651343
0.35485	411.777	0.002	0.8109587579
0.36486	412.19012	0.00204	0.8288385171
0.37487	412.59673	0.00207	0.8426874207
0.38488	412.9963	0.0021	0.8565569015
0.39489	413.38978	0.00213	0.8704496938
0.4049	413.7783	0.00216	0.8843695387
0.41491	414.16083	0.00219	0.8983110908
0.42492	414.53843	0.00222	0.9122779398
0.43493	414.91201	0.00225	0.9262732718
0.44494	415.28049	0.00227	0.9361674049
0.45495	415.64548	0.0023	0.950207737
0.46496	416.00676	0.00232	0.9601373465
0.47497	416.36401	0.00234	0.970078378
0.48498	416.71883	0.00236	0.9800378645
0.49499	417.07013	0.00238	0.9900103478
0.50501	417.41887	0.0024	1
0.51502	417.76538	0.00242	1.010008114
0.52503	418.10919	0.00243	1.015851679
0.53504	418.45158	0.00244	1.021703433
0.54505	418.79172	0.00246	1.031753338
0.55506	419.13061	0.00247	1.037624731
0.56507	419.46809	0.00248	1.043504053
0.57508	419.8044	0.00248	1.045177989
0.58509	420.14003	0.00249	1.051071048
0.5951	420.47483	0.00249	1.052746864
0.60511	420.80937	0.00249	1.054422713
0.61512	421.1436	0.0025	1.060339698
0.62513	421.47796	0.00249	1.057775949
0.63514	421.81251	0.00249	1.059455844
0.64515	422.14775	0.00249	1.061140541
0.65516	422.48352	0.00248	1.058560852
0.66517	422.82066	0.00247	1.055975774
0.67518	423.15882	0.00246	1.053383482
0.68519	423.49878	0.00245	1.05078778
0.6952	423.84075	0.00243	1.043893743
0.70521	424.18456	0.00241	1.036982334
0.71522	424.53162	0.0024	1.034370032
0.72523	424.88087	0.00238	1.027438687
0.73524	425.23404	0.00235	1.016175008
0.74525	425.59096	0.00233	1.009218754
0.75526	425.95159	0.00229	0.9935748091
0.76527	426.31795	0.00226	0.982246023
0.77528	426.68869	0.00223	0.9708938006
0.78529	427.06563	0.00219	0.9551640298
0.7953	427.44998	0.00215	0.9394067237
0.80531	427.84058	0.00211	0.9236150609
0.81532	428.23994	0.00206	0.9034126378
0.82533	428.64935	0.00201	0.8831714038
0.83534	429.0683	0.00196	0.8628862185
0.84535	429.4991	0.00191	0.8425631977
0.85536	429.94397	0.00184	0.8133662539
0.86537	430.40473	0.00178	0.7885308251
0.87538	430.88302	0.00171	0.7592057218
0.88539	431.3824	0.00163	0.7253657597
0.8954	431.9075	0.00154	0.6869843033
0.90541	432.46418	0.00145	0.6485043414
0.91542	433.06056	0.00134	0.600961523
0.92543	433.70862	0.00122	0.5487828624
0.93544	434.42601	0.00109	0.491929355
0.94545	435.24449	0.000942196	0.4268275288
0.95546	436.20859	0.000779775	0.3548152984
0.96547	437.41001	0.000605093	0.2768497694
0.97548	439.02704	0.000424839	0.1958175079
0.98549	441.52593	0.000250188	0.1166335529
0.99499	446.28367	0.000126877	0.06042956876
1	451.06721	8.71914e-05	0.04242294054
